coach,college,title,team_id,start_year,end_year,position_title_standardized,college_clean,category,team_state,conference,division,gender
Stacy McIntyre,Air Force,Head Women's Basketball Coach,721,2024,,Head Coach,Air Force,College,CO,Mountain West,I,F
Stacy McIntyre,Air Force,Associate Head Coach,721,2019,2024,Associate Head Coach,Air Force,College,CO,Mountain West,I,F
Stacy McIntyre,Air Force,Assistant Coach,721,2015,2019,Assistant Coach,Air Force,College,CO,Mountain West,I,F
Stacy McIntyre,Yale,Assistant Coach,813,2014,2015,Assistant Coach,Yale,College,CT,Ivy League,I,F
Stacy McIntyre,USC,Assistant Coach,657,2007,2014,Assistant Coach,Southern Cal,College,CA,Pac-12,I,F
Stacy McIntyre,Nevada,Assistant Coach,466,2004,2007,Assistant Coach,Nevada,College,NV,Mountain West,I,F
Adam Wardenburg,Air Force,Associate Head Coach,721,2024,,Associate Head Coach,Air Force,College,CO,Mountain West,I,M
Adam Wardenburg,Utah Valley,Associate Head Coach,30024,2023,2024,Associate Head Coach,Utah Valley,College,UT,WAC,I,M
Adam Wardenburg,Southern Virginia,Head Men's Basketball Coach,30164,2019,2023,Head Coach,Southern Va.,College,VA,USA South,III,M
Adam Wardenburg,Southern Virginia,Head Women's Basketball Coach,30164,2018,2019,Head Coach,Southern Va.,College,VA,USA South,III,M
Adam Wardenburg,Utah Valley,Assistant Coach/Offensive Coordinator/Recruiting Coordinator,30024,2014,2018,Assistant Coach,Utah Valley,College,UT,WAC,I,M
Adam Wardenburg,College of Southern Idaho,Assistant Coach,,2013,2014,Assistant Coach,Southern Idaho,Community College,,,,M
Adam Wardenburg,Utah State,Director of Operations,731,2011,2013,Staff,Utah St.,College,UT,Mountain West,I,M
Rynae Rasley,Air Force,Assistant Coach,721,2024,,Assistant Coach,Air Force,College,CO,Mountain West,I,F
Rynae Rasley,Air Force Preparatory School,Head Coach,,2019,2023,Head Coach,Air Force Prep Academy,Other,,,,F
Rynae Rasley,Air Force,Assistant Coach,721,2016,2019,Assistant Coach,Air Force,College,CO,Mountain West,I,F
Rynae Rasley,Nyack College,Assistant Coach,,2013,2016,Assistant Coach,Nyack College,College,,,,F
Rynae Rasley,City College of New York,Assistant Coach,480,,2013,Assistant Coach,CCNY,College,NY,CUNYAC,III,F
Lauren Brocke,Air Force,"Assistant Coach, Forwards/Post Coach, Recruiting Coordinator, Equipment Coordinator, Compliance Liaison",721,2023,,Assistant Coach,Air Force,College,CO,Mountain West,I,F
Lauren Brocke,Colorado College,Assistant Coach,154,2021,2023,Assistant Coach,Colorado Col.,College,CO,SCAC,III,F
Kendall Folley,Air Force,Assistant Coach,721,2025,,Assistant Coach,Air Force,College,CO,Mountain West,I,F
Kendall Folley,East Tennessee State,Student Intern,198,2024,2025,Staff,East Tennessee State,College,TN,SoCon,I,F
Joni Taylor,Texas A&M,Head Women's Basketball Coach,697,2022,,Head Coach,Texas A&M,College,TX,SEC,I,F
Joni Taylor,Georgia,Head Women's Basketball Coach,257,2015,2022,Head Coach,Georgia,College,GA,SEC,I,F
Joni Taylor,Georgia,Associate Head Coach,257,2012,2015,Associate Head Coach,Georgia,College,GA,SEC,I,F
Joni Taylor,Georgia,Assistant Coach,257,2011,2012,Assistant Coach,Georgia,College,GA,SEC,I,F
Joni Taylor,LSU,Assistant Coach,365,2010,2011,Assistant Coach,LSU,College,LA,SEC,I,F
Joni Taylor,Alabama,Associate Head Coach,8,2008,2010,Associate Head Coach,Alabama,College,AL,SEC,I,F
Joni Taylor,Louisiana Tech,Associate Head Coach,366,2007,2008,Associate Head Coach,Louisiana Tech,College,LA,C-USA,I,F
Joni Taylor,Louisiana Tech,Assistant Coach,366,2005,2007,Assistant Coach,Louisiana Tech,College,LA,C-USA,I,F
Joni Taylor,Troy,Assistant Coach,716,2002,2005,Assistant Coach,Troy,College,AL,Sun Belt,I,F
Chelsea Newton,Texas A&M,Associate Head Coach,697,2022,,Associate Head Coach,Texas A&M,College,TX,SEC,I,F
Chelsea Newton,Georgia,Assistant Coach,257,2015,2022,Assistant Coach,Georgia,College,GA,SEC,I,F
Chelsea Newton,Rutgers,Assistant Coach,587,2010,2015,Assistant Coach,Rutgers,College,NJ,Big Ten,I,F
Chelsea Newton,Rutgers,Director of Player Development,587,2006,2007,Staff,Rutgers,College,NJ,Big Ten,I,F
Robert Mosley,Texas A&M,Assistant Coach,697,2022,,Assistant Coach,Texas A&M,College,TX,SEC,I,M
Robert Mosley,Georgia,Assistant Coach,257,2012,2022,Assistant Coach,Georgia,College,GA,SEC,I,M
Robert Mosley,Alabama,Assistant Coach,8,2010,2012,Assistant Coach,Alabama,College,AL,SEC,I,M
Robert Mosley,Ramsay High School,Head Coach,,2004,2010,Head Coach,Ramsay High School,Other,,,,M
Alex Varlan,Texas A&M,Assistant Coach,697,2025,,Assistant Coach,Texas A&M,College,TX,SEC,I,M
Alex Varlan,Florida Atlantic University,Assistant Coach,229,2022,2025,Assistant Coach,Florida Atlantic,College,FL,C-USA,I,M
Alex Varlan,Northeastern University,Assistant Coach,500,2021,2022,Assistant Coach,Northeastern,College,MA,CAA,I,M
Alex Varlan,Tennessee,Director of Scouting and Analytics,694,2019,2021,Staff,Tennessee,College,TN,SEC,I,M
Alex Varlan,Tennessee,Video Coordinator,694,2017,2019,Staff,Tennessee,College,TN,SEC,I,M
Alex Varlan,Oakland University,Director of Scouting and Recruiting Innovation,514,2016,2017,Staff,Oakland,College,MI,Horizon,I,M
Alex Varlan,Oakland University,Video Coordinator,514,2014,2016,Staff,Oakland,College,MI,Horizon,I,M
Alex Varlan,Delaware 87ers,Basketball Operations Coordinator,,2013,2014,Staff,Delaware 87ers,Other,,,,M
Alex Varlan,Philadelphia 76ers,Basketball Intern,,2013,2013,Staff,Philadelphia 76ers,Professional,,,,M
Alex Varlan,Tennessee,Video Services/Stats/Team Management,694,2010,2010,Staff,Tennessee,College,TN,SEC,I,M
Alexis Hyder,Texas A&M,Assistant Coach/Recruiting Coordinator,697,2025,,Assistant Coach,Texas A&M,College,TX,SEC,I,F
Alexis Hyder,Utah State,Assistant Coach,731,2024,2025,Assistant Coach,Utah St.,College,UT,Mountain West,I,F
Alexis Hyder,Lindenwood,Recruiting Coordinator,30136,2023,2024,Recruiting Coordinator,Lindenwood (MO),College,MO,OVC,I,F
Alexis Hyder,North Texas,Video Coordinator,497,2022,2023,Staff,North Texas,College,TX,C-USA,I,F
Alexis Hyder,FIU,Assistant Director of Basketball Operations,231,2019,2020,Staff,FIU,College,FL,C-USA,I,F
Yolanda Berryhill,Texas A&M,Head Strength & Conditioning Coach,697,2021,,Head Coach,Texas A&M,College,TX,SEC,I,F
Yolanda Berryhill,SMU,Strength & Conditioning Coach,663,2016,2019,Strength and Conditioning Coach,Southern Methodist,College,TX,AAC,I,F
Yolanda Berryhill,Georgia Tech,Player Development Coach,255,2019,2021,Staff,Georgia Tech,College,GA,ACC,I,F
Yolanda Berryhill,Appalachian State,Director of Olympic Sports,27,2014,2016,Staff,Appalachian State,College,NC,Sun Belt,I,F
Yolanda Berryhill,Georgia State,Assistant Strength & Conditioning Coach,254,2012,2014,Assistant Coach,Georgia State,College,GA,Sun Belt,I,F
Yolanda Berryhill,Georgia State,Graduate Assistant,254,2011,2012,Staff,Georgia State,College,GA,Sun Belt,I,F
Yolanda Berryhill,Georgia Tech,Strength & Conditioning Intern,255,2011,2011,Strength and Conditioning Coach,Georgia Tech,College,GA,ACC,I,F
Kristy Curry,Alabama,Head Coach,8,2013,,Head Coach,Alabama,College,AL,SEC,I,F
Kristy Curry,Texas Tech,Head Coach,700,2006,2013,Head Coach,Texas Tech,College,TX,Big 12,I,F
Kristy Curry,Purdue,Head Coach,559,1999,2006,Head Coach,Purdue,College,IN,Big Ten,I,F
Kristy Curry,Louisiana Tech,Assistant Coach,366,1996,1999,Assistant Coach,Louisiana Tech,College,LA,C-USA,I,F
Kristy Curry,Texas A&M,Assistant Coach,697,1994,1996,Assistant Coach,Texas A&M,College,TX,SEC,I,F
Kristy Curry,Stephen F. Austin,Assistant Coach,676,1993,1994,Assistant Coach,Stephen F. Austin,College,TX,WAC,I,F
Kristy Curry,Tulane,Assistant Coach,718,1991,1993,Assistant Coach,Tulane,College,LA,AAC,I,F
Kristy Curry,Mansfield High School,Head Coach,,1990,1991,Head Coach,Mansfield High School,Other,,,,F
Kristy Curry,Weston High School,Head Coach,,1988,1990,Head Coach,Weston High School,Other,,,,F
Brooks Donald Williams,Alabama,Assistant Coach/Recruiting Coordinator,8,2025,,Assistant Coach,Alabama,College,AL,SEC,I,F
Brooks Donald Williams,Southern Miss,Associate Head Coach,664,2024,2025,Associate Head Coach,Southern Miss,College,MS,Sun Belt,I,F
Brooks Donald Williams,Louisiana-Monroe,Head Coach,498,2019,2023,Head Coach,Louisiana Monroe,College,LA,Sun Belt,I,F
Brooks Donald Williams,Alabama,Assistant Coach,8,2016,2019,Assistant Coach,Alabama,College,AL,SEC,I,F
Brooks Donald Williams,McNeese State,Head Coach,402,2007,2016,Head Coach,McNeese State,College,LA,Southland,I,F
Brooks Donald Williams,Southern Miss,Assistant Coach/Recruiting Coordinator,664,2004,2007,Assistant Coach,Southern Miss,College,MS,Sun Belt,I,F
Brooks Donald Williams,Memphis,Assistant Coach/Recruiting Coordinator,404,2003,2004,Assistant Coach,Memphis,College,TN,AAC,I,F
Brooks Donald Williams,Arkansas at Little Rock,Assistant Coach,32,2000,2003,Assistant Coach,Arkansas-Little Rock,College,AR,OVC,I,F
Kelly Curry,Alabama,Assistant Coach,8,2013,,Assistant Coach,Alabama,College,AL,SEC,I,M
Kelly Curry,Texas Tech,Assistant Coach,700,2006,2013,Assistant Coach,Texas Tech,College,TX,Big 12,I,M
Kelly Curry,Purdue,Assistant Coach,559,1999,2006,Assistant Coach,Purdue,College,IN,Big Ten,I,M
Kelly Curry,Louisiana Tech,Assistant Coach,366,1998,1999,Assistant Coach,Louisiana Tech,College,LA,C-USA,I,M
