high_school_original,high_school_standardized,state,confidence,source,nces_id,player_count,canonical_player_count,city,notes
Aberdeen HS,Aberdeen HS,Maryland,high_auto,duplicate_resolution,,4.0,4.0,,
Aberdeen High School,Aberdeen HS,Maryland,high_auto,duplicate_resolution,,2.0,4.0,,
Aberdeen Central HS,Aberdeen Central HS,SD.,high_auto,duplicate_resolution,,4.0,4.0,,
Aberdeen Central H.S.,Aberdeen Central HS,SD.,high_auto,duplicate_resolution,,3.0,4.0,,
Abernathy H.S.,Abernathy HS,Texas,high_auto,duplicate_resolution,,1.0,1.0,,
Abernathy HS,Abernathy HS,Texas,high_auto,duplicate_resolution,,1.0,1.0,,
Abington,Abington,Pennsylvania,high_auto,duplicate_resolution,,18.0,18.0,,
Abington HS,Abington,Pennsylvania,high_auto,duplicate_resolution,,4.0,18.0,,
Abraham Lincoln HS,Abraham Lincoln High School,New York,high_auto,duplicate_resolution,,1.0,1.0,,
Abraham Lincoln High School,Abraham Lincoln High School,New York,high_auto,duplicate_resolution,,1.0,1.0,,
Absegami,Absegami,NJ.,high_auto,duplicate_resolution,,7.0,7.0,,
Absegami HS,Absegami,NJ.,high_auto,duplicate_resolution,,1.0,7.0,,
AC Flora HS,AC Flora HS,SC.,high_auto,duplicate_resolution,,5.0,5.0,,
AC Flora High School,AC Flora HS,SC.,high_auto,duplicate_resolution,,3.0,5.0,,
A.C. Flora High School,AC Flora HS,SC.,high_auto,duplicate_resolution,,1.0,5.0,,
A.C. Jones,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
A.C. Jones HS,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
A.C Jones High School,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,1.0,2.0,,
AC Jones,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,1.0,2.0,,
A.C. Reynolds,A.C. Reynolds,NC.,high_auto,duplicate_resolution,,3.0,3.0,,
A.C. Reynolds HS,A.C. Reynolds,NC.,high_auto,duplicate_resolution,,2.0,3.0,,
A.C. Reynolds High School,A.C. Reynolds,NC.,high_auto,duplicate_resolution,,1.0,3.0,,
Academy of Holy Angels,Academy of Holy Angels,Minn,high_auto,duplicate_resolution,,14.0,14.0,,
Academy of Holy Angels HS,Academy of Holy Angels,Minn,high_auto,duplicate_resolution,,1.0,14.0,,
Academy of the Holy Names,Academy of the Holy Names,NY.,high_auto,duplicate_resolution,,7.0,7.0,,
Academy of The Holy Names,Academy of the Holy Names,NY.,high_auto,duplicate_resolution,,1.0,7.0,,
Adairsville,Adairsville,Georgia,high_auto,duplicate_resolution,,5.0,5.0,,
Adairsville HS,Adairsville,Georgia,high_auto,duplicate_resolution,,1.0,5.0,,
Africentric,Africentric,Ohio,high_auto,duplicate_resolution,,6.0,6.0,,
Africentric HS,Africentric,Ohio,high_auto,duplicate_resolution,,1.0,6.0,,
Air Academy,Air Academy,Colo,high_auto,duplicate_resolution,,8.0,8.0,,
Air Academy HS,Air Academy,Colo,high_auto,duplicate_resolution,,3.0,8.0,,
Air Academy H.S.,Air Academy,Colo,high_auto,duplicate_resolution,,2.0,8.0,,
Aitkin,Aitkin,Minn,high_auto,duplicate_resolution,,2.0,2.0,,
Aitkin HS,Aitkin,Minn,high_auto,duplicate_resolution,,1.0,2.0,,
Akins,Akins HS,Texas,high_auto,duplicate_resolution,,3.0,3.0,,
Akins HS,Akins HS,Texas,high_auto,duplicate_resolution,,3.0,3.0,,
Akron,Akron,Colo,high_auto,duplicate_resolution,,1.0,1.0,,
Akron H.S.,Akron,Colo,high_auto,duplicate_resolution,,1.0,1.0,,
Akron-Westfield,Akron-Westfield,Iowa,high_auto,duplicate_resolution,,2.0,2.0,,
Akron-Westfield H.S.,Akron-Westfield,Iowa,high_auto,duplicate_resolution,,2.0,2.0,,
Alameda,Alameda HS,Calif,high_auto,duplicate_resolution,,9.0,9.0,,
Alameda HS,Alameda HS,Calif,high_auto,duplicate_resolution,,9.0,9.0,,
Albany High School,Albany High School,Louisiana,high_auto,duplicate_resolution,,6.0,6.0,,
Albany HS,Albany High School,Louisiana,high_auto,duplicate_resolution,,5.0,6.0,,
Albemarle,Albemarle,Virginia,high_auto,duplicate_resolution,,3.0,3.0,,
Albemarle HS,Albemarle,Virginia,high_auto,duplicate_resolution,,1.0,3.0,,
Albertus Magnus,Albertus Magnus,NY.,high_auto,duplicate_resolution,,14.0,14.0,,
Albertus Magnus HS,Albertus Magnus,NY.,high_auto,duplicate_resolution,,2.0,14.0,,
Albuquerque,Albuquerque HS,NM.,high_auto,duplicate_resolution,,1.0,1.0,,
Albuquerque HS,Albuquerque HS,NM.,high_auto,duplicate_resolution,,1.0,1.0,,
Alburnett,Alburnett,Iowa,high_auto,duplicate_resolution,,3.0,3.0,,
Alburnett HS,Alburnett,Iowa,high_auto,duplicate_resolution,,1.0,3.0,,
Alcoa,Alcoa,Tenn,high_auto,duplicate_resolution,,7.0,7.0,,
Alcoa H.S.,Alcoa,Tenn,high_auto,duplicate_resolution,,2.0,7.0,,
Alcoa HS,Alcoa,Tenn,high_auto,duplicate_resolution,,2.0,7.0,,
Alcovy,Alcovy High School,Georgia,high_auto,duplicate_resolution,,2.0,2.0,,
Alcovy High School,Alcovy High School,Georgia,high_auto,duplicate_resolution,,2.0,2.0,,
Alemany High School,Alemany High School,Calif,high_auto,duplicate_resolution,,2.0,2.0,,
Alemany,Alemany High School,Calif,high_auto,duplicate_resolution,,1.0,2.0,,
Alexandria,Alexandria,Minn,high_auto,duplicate_resolution,,8.0,8.0,,
Alexandria HS,Alexandria,Minn,high_auto,duplicate_resolution,,2.0,8.0,,
Algonquin Regional,Algonquin Regional,Mass,high_auto,duplicate_resolution,,8.0,8.0,,
Algonquin Regional HS,Algonquin Regional,Mass,high_auto,duplicate_resolution,,2.0,8.0,,
Alief Hastings,Alief Hastings HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Alief Hastings HS,Alief Hastings HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
All Saints Episcopal HS,All Saints Episcopal HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
All Saints Episcopal,All Saints Episcopal HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Allegany,Allegany,Maryland,high_auto,duplicate_resolution,,2.0,2.0,,
Allegany High School,Allegany,Maryland,high_auto,duplicate_resolution,,1.0,2.0,,
Allen HS,Allen HS,Texas,high_auto,duplicate_resolution,,28.0,28.0,,
Allen,Allen HS,Texas,high_auto,duplicate_resolution,,14.0,28.0,,
Allen High School,Allen HS,Texas,high_auto,duplicate_resolution,,8.0,28.0,,
Allen H.S.,Allen HS,Texas,high_auto,duplicate_resolution,,5.0,28.0,,
Alpharetta High School,Alpharetta High School,Georgia,high_auto,duplicate_resolution,,5.0,5.0,,
Alpharetta HS,Alpharetta High School,Georgia,high_auto,duplicate_resolution,,3.0,5.0,,
Alpharetta,Alpharetta High School,Georgia,high_auto,duplicate_resolution,,3.0,5.0,,
Alta HS,Alta HS,Utah,high_auto,duplicate_resolution,,3.0,3.0,,
Alta,Alta HS,Utah,high_auto,duplicate_resolution,,2.0,3.0,,
Alta H.S.,Alta HS,Utah,high_auto,duplicate_resolution,,1.0,3.0,,
Althoff Catholic,Althoff Catholic,Ill,high_auto,duplicate_resolution,,3.0,3.0,,
Althoff Catholic HS,Althoff Catholic,Ill,high_auto,duplicate_resolution,,2.0,3.0,,
Altoona Area,Altoona Area,Pennsylvania,high_auto,duplicate_resolution,,10.0,10.0,,
Altoona Area HS,Altoona Area,Pennsylvania,high_auto,duplicate_resolution,,3.0,10.0,,
Alva HS,Alva HS,Okla,high_auto,duplicate_resolution,,8.0,8.0,,
Alva,Alva HS,Okla,high_auto,duplicate_resolution,,6.0,8.0,,
Amarillo,Amarillo HS,Texas,high_auto,duplicate_resolution,,11.0,11.0,,
Amarillo HS,Amarillo HS,Texas,high_auto,duplicate_resolution,,11.0,11.0,,
Amarillo H.S.,Amarillo HS,Texas,high_auto,duplicate_resolution,,2.0,11.0,,
Amboy,Amboy,Ill,high_auto,duplicate_resolution,,10.0,10.0,,
Amboy HS,Amboy,Ill,high_auto,duplicate_resolution,,1.0,10.0,,
American HS,American HS,California,high_auto,duplicate_resolution,,7.0,7.0,,
American,American HS,California,high_auto,duplicate_resolution,,1.0,7.0,,
American Heritage,American Heritage,Fla,high_auto,duplicate_resolution,,19.0,19.0,,
American Heritage HS,American Heritage,Fla,high_auto,duplicate_resolution,,6.0,19.0,,
Americas,Americas HS,Texas,high_auto,duplicate_resolution,,4.0,4.0,,
