country_clean,2022-23,2023-24,pct_change
ANGOLA,1,2,100
ARGENTINA,6,9,50
AUSTRALIA,166,136,-18.072289156626507
AUSTRIA,2,6,200
BAHAMAS,2,6,200
BANGLADESH,1,0,-100
BARBADOS,1,1,0
BELARUS,3,3,0
BELGIUM,3,2,-33.33333333333333
BOSNIA & HERZEGOVINA,0,4,Inf
BOSNIA AND HERZEGOVINA,3,0,-100
BRAZIL,15,16,6.666666666666667
BULGARIA,3,1,-66.66666666666666
CAMEROON,1,0,-100
CANADA,150,170,13.333333333333334
CAPE VERDE,1,1,0
CHILE,2,4,100
CHINA,5,6,20
COLOMBIA,3,3,0
CONGO,0,1,Inf
COSTA RICA,1,2,100
CROATIA,18,18,0
CYPRUS,2,1,-50
CZECH REPUBLIC,8,10,25
DEMOCRATIC REPUBLIC OF THE CONGO,2,2,0
DENMARK,17,15,-11.76470588235294
DOMINICAN REPUBLIC,2,5,150
ECUADOR,2,2,0
EGYPT,4,3,-25
ESTONIA,5,5,0
FINLAND,12,13,8.333333333333332
FRANCE,35,36,2.857142857142857
FRENCH GUIANA,1,2,100
GABON,0,1,Inf
GERMANY,16,27,68.75
GREECE,23,25,8.695652173913043
HONDURAS,0,1,Inf
HUNGARY,13,16,23.076923076923077
ICELAND,10,9,-10
INDIA,4,2,-50
IRELAND,11,12,9.090909090909092
ISRAEL,10,16,60
ITALY,17,17,0
IVORY COAST,0,2,Inf
JAMAICA,2,4,100
JAPAN,4,3,-25
KENYA,3,3,0
KOSOVO,3,2,-33.33333333333333
LATVIA,15,11,-26.666666666666668
LEBANON,1,1,0
LITHUANIA,6,6,0
LUXEMBOURG,5,4,-20
MACEDONIA,2,3,50
MADRID,0,2,Inf
MALI,6,9,50
MALTA,1,0,-100
MEXICO,8,6,-25
MOLDOVA,1,1,0
MONTENEGRO,2,3,50
MOZAMBIQUE,5,8,60
NETHERLANDS,1,22,2100
NEW ZEALAND,28,35,25
NIGER,0,1,Inf
NIGERIA,19,23,21.052631578947366
NORTH MACEDONIA,1,1,0
NORTHERN IRELAND,2,2,0
NORWAY,9,6,-33.33333333333333
PANAMA,0,1,Inf
PAPUA NEW GUINEA,2,2,0
PERU,1,1,0
POLAND,16,12,-25
PORTUGAL,14,11,-21.428571428571427
REPUBLIC OF GEORGIA,1,1,0
ROMANIA,4,2,-50
RUSSIA,10,12,20
RWANDA,4,3,-25
SCOTLAND,5,1,-80
SENEGAL,7,13,85.71428571428571
SERBIA,8,12,50
SLOVAKIA,4,4,0
SOUTH AFRICA,1,0,-100
SOUTH SUDAN,1,0,-100
SPAIN,170,197,15.88235294117647
SURINAME,1,1,0
SWEDEN,45,43,-4.444444444444445
SWITZERLAND,5,5,0
TAIWAN,3,1,-66.66666666666666
THAILAND,1,1,0
THE NETHERLANDS,17,0,-100
TRINIDAD,0,1,Inf
TURKEY,10,10,0
UGANDA,3,3,0
UKRAINE,1,0,-100
UNITED KINGDOM,31,33,6.451612903225806
VENEZUELA,1,1,0
ZIMBABWE,0,1,Inf
