team,url,ncaa_id,stats_name,twitter,team_state,conference,division
Air Force,https://goairforcefalcons.com/sports/womens-basketball,721,Air Force,af_wbb,CO,Mountain West,I
Texas A&M,https://12thman.com/sports/womens-basketball,697,Texas A&M,aggiewbb,TX,SEC,I
Alabama,https://rolltide.com/sports/womens-basketball,8,Alabama,alabamawbb,AL,SEC,I
Arizona,https://arizonawildcats.com/sports/womens-basketball,29,Arizona,arizonawbb,AZ,Pac-12,I
Army,https://goarmywestpoint.com/sports/womens-basketball,725,Army West Point,armywp_wbb,NY,Patriot,I
Auburn,https://auburntigers.com/sports/womens-basketball,37,Auburn,auburnwbb,AL,SEC,I
Wisconsin,https://uwbadgers.com/sports/womens-basketball,796,Wisconsin,badgerwbb,WI,Big Ten,I
Baylor,https://baylorbears.com/sports/womens-basketball,51,Baylor,BaylorWBB,TX,Big 12,I
Bellarmine,https://athletics.bellarmine.edu/sports/womens-basketball,52,Bellarmine,BUKnightsWBB,KY,ASUN,I
Boston College,https://bceagles.com/sports/womens-basketball,67,Boston College,bc_wbb,MA,ACC,I
Oregon State,https://osubeavers.com/sports/womens-basketball,528,Oregon St.,beaverwbb,OR,Pac-12,I
Belmont,https://belmontbruins.com/sports/womens-basketball,14927,,belmontwbb,TN,MVC,I
St. Bonaventure,https://gobonnies.com/sports/womens-basketball,596,St. Bonaventure,bonnieswbb,NY,Atlantic 10,I
California,https://calbears.com/sports/womens-basketball,107,California,calwbball,CA,Pac-12,I
Miami,https://miamihurricanes.com/sports/wbball,415,Miami (FL),caneswbb,FL,ACC,I
California Baptist,https://cbulancers.com/sports/womens-basketball,30135,California Baptist,cbuwbb,CA,WAC,I
Chicago State,https://www.gocsucougars.com/sports/womens-basketball,136,Chicago St.,chistatewbb,IL,DI Independent,I
Clemson,https://clemsontigers.com/sports/w-basketball,147,Clemson,clemsonwbb,SC,ACC,I
Central Michigan,https://cmuchippewas.com/sports/womens-basketball,129,Central Mich.,cmuwbball,MI,MAC,I
Creighton,https://gocreighton.com/sports/womens-basketball,169,Creighton,creightonwbb,NE,Big East,I
Colorado,https://cubuffs.com/sports/womens-basketball,157,Colorado,cubuffswbb,CO,Pac-12,I
Coppin State,https://coppinstatesports.com/sports/womens-basketball,165,Coppin St.,CoppinState_WBB,MD,MEAC,I
Syracuse,https://cuse.com/sports/womens-basketball,688,Syracuse,cusewbb,NY,ACC,I
Iowa State,https://cyclones.com/sports/womens-basketball,311,Iowa St.,cyclonewbb,IA,Big 12,I
Dayton,https://daytonflyers.com/sports/womens-basketball,175,Dayton,daytonwbb,OH,Atlantic 10,I
Drake,https://godrakebulldogs.com/sports/womens-basketball/,189,Drake,drakewbb,IA,MVC,I
Duke,https://goduke.com/sports/womens-basketball,193,Duke,dukewbb,NC,ACC,I
Duquesne,https://goduquesne.com/sports/womens-basketball,194,Duquesne,duqwbb,PA,Atlantic 10,I
South Carolina,https://gamecocksonline.com/sports/wbball,648,South Carolina,GamecockWBB,SC,SEC,I
Green Bay,https://greenbayphoenix.com/sports/womens-basketball,794,Green Bay,gbphoenixwbb,WI,Horizon,I
Georgetown,https://guhoyas.com/sports/womens-basketball,251,Georgetown,georgetownwbb,DC,Big East,I
South Dakota State,https://gojacks.com/sports/womens-basketball,649,South Dakota St.,gojackswbb,SD,Summit League,I
George Washington,https://gwsports.com/sports/womens-basketball,249,George Washington,gw_wbb,DC,Atlantic 10,I
Mississippi State,https://hailstate.com/sports/womens-basketball,430,Mississippi St.,HailStateWBK,MS,SEC,I
Virginia Tech,https://hokiesports.com/sports/womens-basketball,742,Virginia Tech,hokieswbb,VA,ACC,I
Nebraska,https://huskers.com/sports/womens-basketball,463,Nebraska,huskerswbb,NE,Big Ten,I
Illinois,https://fightingillini.com/sports/womens-basketball,301,Illinois,illiniwbb,IL,Big Ten,I
Indiana,https://iuhoosiers.com/sports/womens-basketball,306,Indiana,indianawbb,IN,Big Ten,I
Iona,https://ionagaels.com/sports/womens-basketball,310,Iona,ionawbb,NY,MAAC,I
Iowa,https://hawkeyesports.com/sports/wbball,312,Iowa,iowawbb,IA,Big Ten,I
Kentucky,https://ukathletics.com/sports/wbball,334,Kentucky,kentuckywbb,KY,SEC,I
Kansas State,https://www.kstatesports.com/sports/womens-basketball,327,Kansas St.,kstatewbb,KS,Big 12,I
Hampton,https://hamptonpirates.com/sports/womens-basketball,270,Hampton University,ladypirateswbb,VA,CAA,I
Tennessee,https://utsports.com/sports/womens-basketball,694,Tennessee,LadyVol_Hoops,TN,SEC,I
LaSalle,https://goexplorers.com/sports/womens-basketball,340,La Salle,lasalle_wbb,PA,Atlantic 10,I
Manhattan,https://gojaspers.com/sports/womens-basketball,381,Manhattan,manhattan_wbb,NY,MAAC,I
Marquette,https://gomarquette.com/sports/womens-basketball,387,Marquette,marquettewbb,WI,Big East,I
Memphis,https://gotigersgo.com/sports/womens-basketball,404,Memphis,memphiswbb,TN,AAC,I
Mercer,https://mercerbears.com/sports/womens-basketball,406,Mercer,mercer_wbb,NJ,SoCon,I
Missouri,https://mutigers.com/sports/womens-basketball,434,Missouri,mizzouwbb,MO,SEC,I
Mount St. Mary's,https://mountathletics.com/sports/womens-basketball,450,Mount St. Mary's,mount_wbb,MD,MAAC,I
Middle Tennessee,https://goblueraiders.com/sports/womens-basketball,419,Middle Tenn.,mt_wbb,TN,C-USA,I
Northern Arizona,https://nauathletics.com/sports/womens-basketball,501,Northern Ariz.,nau_wbb,AZ,Big Sky,I
Notre Dame,https://fightingirish.com/sports/wbball,513,Notre Dame,ndwbb,IN,ACC,I
Nevada,https://nevadawolfpack.com/sports/womens-basketball,466,Nevada,nevadawbb,NV,Mountain West,I
Villanova,https://villanova.com/sports/womens-basketball,739,Villanova,novawbb,PA,Big East,I
Southeast Missouri State,https://semoredhawks.com/sports/womens-basketball,654,Southeast Mo. St.,officialsemowbb,MO,OVC,I
Oregon,https://goducks.com/sports/womens-basketball,529,Oregon,OregonWBB,OR,Pac-12,I
