"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","team_state","conference","division","height_ft","height_in","total_inches","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
2,"Abilene Christian",8469,"Kamryn Mraz","Redshirt Sophomore","Little River","Texas","Academy HS",,"5'6""","Guard","0","https://www.acusports.com/sports/womens-basketball/roster/kamryn-mraz/8469","2020-21","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Sophomore",1,"Academy HS","LITTLE RIVER, TEXAS","TX","USA"
2,"Abilene Christian",8471,"Katie Horyna","Freshman","Liberal","Kan","Liberal HS",,"5'9""","Guard","1","https://www.acusports.com/sports/womens-basketball/roster/katie-horyna/8471","2020-21","TX","WAC","I",5,9,69,"GUARD",,"GUARD","Freshman",0,"Liberal HS","LIBERAL, KAN","KS","USA"
2,"Abilene Christian",8473,"Taylor Morgan","Freshman","Fort Worth","Texas","All Saints Episcopal HS",,"5'6""","Guard","10","https://www.acusports.com/sports/womens-basketball/roster/taylor-morgan/8473","2020-21","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Freshman",0,"All Saints Episcopal HS","FORT WORTH, TEXAS","TX","USA"
2,"Abilene Christian",8465,"Josie Larson","Senior","San Antonio","Texas","Johnson HS",,"5'9""","Guard","12","https://www.acusports.com/sports/womens-basketball/roster/josie-larson/8465","2020-21","TX","WAC","I",5,9,69,"GUARD",,"GUARD","Senior",0,"Johnson HS","SAN ANTONIO, TEXAS","TX","USA"
2,"Abilene Christian",8474,"Paige Emborsky","Junior","Newfane","NY.","Newfane HS","Niagara County CC","5'6""","Guard","13","https://www.acusports.com/sports/womens-basketball/roster/paige-emborsky/8474","2020-21","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Junior",0,"Newfane HS","NEWFANE, NY","NY","USA"
2,"Abilene Christian",8475,"Sarah Griswold","Redshirt Sophomore","Okarche","Okla","Okarche HS","Northern Oklahoma College","6'1""","Center","23","https://www.acusports.com/sports/womens-basketball/roster/sarah-griswold/8475","2020-21","TX","WAC","I",6,1,73,"CENTER",,"CENTER","Sophomore",1,"Okarche HS","OKARCHE, OKLA","OK","USA"
2,"Abilene Christian",8472,"Alice Stevenson","Freshman","Perkins","Okla","Perkins HS",,"5'10""","Forward","3","https://www.acusports.com/sports/womens-basketball/roster/alice-stevenson/8472","2020-21","TX","WAC","I",5,10,70,"FORWARD",,"FORWARD","Freshman",0,"Perkins HS","PERKINS, OKLA","OK","USA"
2,"Abilene Christian",8467,"Anna McLeod","Redshirt Senior","Houston","Texas","Home School","Louisiana Tech","6'0""","Guard","30","https://www.acusports.com/sports/womens-basketball/roster/anna-mcleod/8467","2020-21","TX","WAC","I",6,0,72,"GUARD",,"GUARD","Senior",1,"Home School","HOUSTON, TEXAS","TX","USA"
2,"Abilene Christian",8468,"Madi Miller","Junior","Wylie","Texas","Wylie HS",,"5'9""","Guard","31","https://www.acusports.com/sports/womens-basketball/roster/madi-miller/8468","2020-21","TX","WAC","I",5,9,69,"GUARD",,"GUARD","Junior",0,"Wylie HS","WYLIE, TEXAS","TX","USA"
2,"Abilene Christian",8466,"Makayla Mabry","Senior","San Antonio","Texas","Incarnate Word HS",,"6'1""","Forward","32","https://www.acusports.com/sports/womens-basketball/roster/makayla-mabry/8466","2020-21","TX","WAC","I",6,1,73,"FORWARD",,"FORWARD","Senior",0,"Incarnate Word HS","SAN ANTONIO, TEXAS","TX","USA"
2,"Abilene Christian",8464,"Alyssa Adams","Senior","San Antonio","Texas","Johnson HS",,"6'1""","Forward","33","https://www.acusports.com/sports/womens-basketball/roster/alyssa-adams/8464","2020-21","TX","WAC","I",6,1,73,"FORWARD",,"FORWARD","Senior",0,"Johnson HS","SAN ANTONIO, TEXAS","TX","USA"
2,"Abilene Christian",8476,"Hannah Matthews","Freshman","Centerville","Texas","Centerville HS",,"6'1""","Center","55","https://www.acusports.com/sports/womens-basketball/roster/hannah-matthews/8476","2020-21","TX","WAC","I",6,1,73,"CENTER",,"CENTER","Freshman",0,"Centerville HS","CENTERVILLE, TEXAS","TX","USA"
3,"Adelphi",9032,"Fiona Mannion","Freshman","Dorchester","Mass","Boston Latin Academy",,"5'9""","Forward","00","https://www.aupanthers.com/sports/womens-basketball/roster/fiona-mannion/9032","2020-21","NY","NE10","II",5,9,69,"FORWARD",,"FORWARD","Freshman",0,"Boston Latin Academy","DORCHESTER, MASS","MA","USA"
3,"Adelphi",9039,"Kayla Hall","Senior","Springfield Gardens","NY.","Nazareth Regional (Salem (W. Va.))",,"6'2""","Forward","12","https://www.aupanthers.com/sports/womens-basketball/roster/kayla-hall/9039","2020-21","NY","NE10","II",6,2,74,"FORWARD",,"FORWARD","Senior",0,"Nazareth Regional (Salem (W. Va.))","SPRINGFIELD GARDENS, NY","NY","USA"
3,"Adelphi",9038,"Ty'zhea Hawkins","Junior","Brentwood","NY.","Brentwood (Massasoit C.C.)",,"5'4""","Guard","13","https://www.aupanthers.com/sports/womens-basketball/roster/ty-zhea-hawkins/9038","2020-21","NY","NE10","II",5,4,64,"GUARD",,"GUARD","Junior",0,"Brentwood (Massasoit C.C.)","BRENTWOOD, NY","NY","USA"
3,"Adelphi",9037,"Jillian Licurgo","Junior","Phoenix","Ariz","Sandra Day O'Connor (Canisius)",,"6'2""","Forward","15","https://www.aupanthers.com/sports/womens-basketball/roster/jillian-licurgo/9037","2020-21","NY","NE10","II",6,2,74,"FORWARD",,"FORWARD","Junior",0,"Sandra Day O'Connor (Canisius)","PHOENIX, ARIZ","AZ","USA"
3,"Adelphi",9034,"Sarah Deyo","Senior","Attleboro","Mass","Attleboro (SNHU)",,"5'11""","Forward","22","https://www.aupanthers.com/sports/womens-basketball/roster/sarah-deyo/9034","2020-21","NY","NE10","II",5,11,71,"FORWARD",,"FORWARD","Senior",0,"Attleboro (SNHU)","ATTLEBORO, MASS","MA","USA"
3,"Adelphi",9036,"Madison Graham","Freshman","Valatie","NY.","Ichabod Crane",,"5'8""","Guard","23","https://www.aupanthers.com/sports/womens-basketball/roster/madison-graham/9036","2020-21","NY","NE10","II",5,8,68,"GUARD",,"GUARD","Freshman",0,"Ichabod Crane","VALATIE, NY","NY","USA"
3,"Adelphi",9029,"Emily Miccile","Senior","Wrentham","Mass","Bishop Feehan",,"5'11""","Guard","30","https://www.aupanthers.com/sports/womens-basketball/roster/emily-miccile/9029","2020-21","NY","NE10","II",5,11,71,"GUARD",,"GUARD","Senior",0,"Bishop Feehan","WRENTHAM, MASS","MA","USA"
3,"Adelphi",9028,"Maeve MacNeill","Senior","New City","NY.","Albertus Magnus",,"6'3""","Forward","44","https://www.aupanthers.com/sports/womens-basketball/roster/maeve-macneill/9028","2020-21","NY","NE10","II",6,3,75,"FORWARD",,"FORWARD","Senior",0,"Albertus Magnus","NEW CITY, NY","NY","USA"
3,"Adelphi",9030,"Katie Murphy","Senior","Smithtown","NY.","Hauppauge",,"5'7""","Guard","5","https://www.aupanthers.com/sports/womens-basketball/roster/katie-murphy/9030","2020-21","NY","NE10","II",5,7,67,"GUARD",,"GUARD","Senior",0,"Hauppauge","SMITHTOWN, NY","NY","USA"
5,"Akron",,"Kendall Miller","Jr.","Akron","Ohio","St. Vincent-St. Mary",,"5' 9''","G","1","https://gozips.com/sports/womens-basketball/roster/kendall-miller/6813","2020-21","OH","MAC","I",5,9,69,"GUARD",,"GUARD","Junior",0,"St. Vincent-St. Mary","AKRON, OHIO","OH","USA"
5,"Akron",,"Alexis Stewart","Fr.","Hamilton","Ontario","St. Thomas More",,"5' 10''","G","10","https://gozips.com/sports/womens-basketball/roster/alexis%20-stewart/6822","2020-21","OH","MAC","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"St. Thomas More","HAMILTON, ONTARIO",,"CANADA"
5,"Akron",,"Sabhbh Edwards Murphy","Fr.","County Clare","Ireland","Kilrush Community School",,"6' 2''","F","11","https://gozips.com/sports/womens-basketball/roster/sabhbh%20-edwards%20murphy/6820","2020-21","OH","MAC","I",6,2,74,"FORWARD",,"FORWARD","Freshman",0,"Kilrush Community School","COUNTY CLARE, IRELAND",,"IRELAND"
5,"Akron",,"Lonasia Brewer","So.","Akron","Ohio","Archbishop Hoban",,"5' 11''","F","13","https://gozips.com/sports/womens-basketball/roster/lonasia%20-brewer/6808","2020-21","OH","MAC","I",5,11,71,"FORWARD",,"FORWARD","Sophomore",0,"Archbishop Hoban","AKRON, OHIO","OH","USA"
5,"Akron",,"Rachel Martindale","So.","Pittsburgh","Pennsylvania","North Allegheny Senior High",,"5' 8''","G","14","https://gozips.com/sports/womens-basketball/roster/rachel%20-martindale/6812","2020-21","OH","MAC","I",5,8,68,"GUARD",,"GUARD","Sophomore",0,"North Allegheny Senior High","PITTSBURGH, PA","PA","USA"
5,"Akron",,"Alanna Carter","Fr.","Mason","Ohio","Mason",,"5' 9''","G","2","https://gozips.com/sports/womens-basketball/roster/alanna-carter/6819","2020-21","OH","MAC","I",5,9,69,"GUARD",,"GUARD","Freshman",0,"Mason","MASON, OHIO","OH","USA"
5,"Akron",,"Gabrielle Brown-Mitchell","Jr.","Solon","Ohio","Solon",,"5' 7''","G","20","https://gozips.com/sports/womens-basketball/roster/gabrielle%20-brown-mitchell/6809","2020-21","OH","MAC","I",5,7,67,"GUARD",,"GUARD","Junior",0,"Solon","SOLON, OHIO","OH","USA"
5,"Akron",,"Molly Neitzel","So.","Rocky River","Ohio","St. Joseph Academy",,"6' 0''","G","21","https://gozips.com/sports/womens-basketball/roster/molly-neitzel/6815","2020-21","OH","MAC","I",6,0,72,"GUARD",,"GUARD","Sophomore",0,"St. Joseph Academy","ROCKY RIVER, OHIO","OH","USA"
5,"Akron",,"Kate Garry","Fr.","Loveland","Ohio","Loveland",,"5' 10''","G","24","https://gozips.com/sports/womens-basketball/roster/kate-garry/6821","2020-21","OH","MAC","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"Loveland","LOVELAND, OHIO","OH","USA"
5,"Akron",,"Jordyn Dawson","Sr.","Huntington","W Va","Huntington",,"5' 11''","F","25","https://gozips.com/sports/womens-basketball/roster/jordyn-dawson/6810","2020-21","OH","MAC","I",5,11,71,"FORWARD",,"FORWARD","Senior",0,"Huntington","HUNTINGTON, W VA","VA","USA"
5,"Akron",,"Emma Tecca","R-Fr.","Tallmadge","Ohio","Archbishop Hoban",,"5' 10''","G","3","https://gozips.com/sports/womens-basketball/roster/emma%20-tecca/6816","2020-21","OH","MAC","I",5,10,70,"GUARD",,"GUARD","Freshman",1,"Archbishop Hoban","TALLMADGE, OHIO","OH","USA"
5,"Akron",,"Layne Ferrell","R-Fr.","Franklin","Ohio","Franklin",,"6' 2''","G","30","https://gozips.com/sports/womens-basketball/roster/layne-ferrell/6811","2020-21","OH","MAC","I",6,2,74,"GUARD",,"GUARD","Freshman",1,"Franklin","FRANKLIN, OHIO","OH","USA"
5,"Akron",,"Colleen Neitzel","Jr.","Rocky River","Ohio","St. Joseph Academy",,"6' 1''","F","33","https://gozips.com/sports/womens-basketball/roster/colleen%20-neitzel/6814","2020-21","OH","MAC","I",6,1,73,"FORWARD",,"FORWARD","Junior",0,"St. Joseph Academy","ROCKY RIVER, OHIO","OH","USA"
6,"Alabama A&M",4565,"Darian Burgin","Freshman","Cincinnati","Ohio","Walnut Hills HS",,"5'7""","Guard","0","https://www.aamusports.com/sports/womens-basketball/roster/darian-burgin/4565","2020-21","AL","SWAC","I",5,7,67,"GUARD",,"GUARD","Freshman",0,"Walnut Hills HS","CINCINNATI, OHIO","OH","USA"
6,"Alabama A&M",4564,"Azonya Austin","Freshman","Kennesaw","Georgia","North Cobb HS",,"5'6""","Guard","10","https://www.aamusports.com/sports/womens-basketball/roster/azonya-austin/4564","2020-21","AL","SWAC","I",5,6,66,"GUARD",,"GUARD","Freshman",0,"North Cobb HS","KENNESAW, GA","GA","USA"
6,"Alabama A&M",4767,"Kobi Warner","Sophomore","Birmingham","Ala","George Carver HS",,"5'10""","Forward","14","https://www.aamusports.com/sports/womens-basketball/roster/kobi-warner/4767","2020-21","AL","SWAC","I",5,10,70,"FORWARD",,"FORWARD","Sophomore",0,"George Carver HS","BIRMINGHAM, ALA","AL","USA"
6,"Alabama A&M",4566,"Kierra Johnson-Graham","Graduate Student","Ellenwood","Georgia","Tucker HS","Liberty Univ.","5'11""","Forward","2","https://www.aamusports.com/sports/womens-basketball/roster/kierra-johnson-graham/4566","2020-21","AL","SWAC","I",5,11,71,"FORWARD",,"FORWARD","Graduate Student",0,"Tucker HS","ELLENWOOD, GA","GA","USA"
6,"Alabama A&M",4479,"Lazurea Saunders","Redshirt Sophomore","Grand Rapids","Mich","East Kentwood HS",,"6'0""","Forward","20","https://www.aamusports.com/sports/womens-basketball/roster/lazurea-saunders/4479","2020-21","AL","SWAC","I",6,0,72,"FORWARD",,"FORWARD","Sophomore",1,"East Kentwood HS","GRAND RAPIDS, MICH","MI","USA"
6,"Alabama A&M",4477,"Dariauna Lewis","Junior","Omaha","Neb","North HS","Missouri State","6'1""","Forward","21","https://www.aamusports.com/sports/womens-basketball/roster/dariauna-lewis/4477","2020-21","AL","SWAC","I",6,1,73,"FORWARD",,"FORWARD","Junior",0,"North HS","OMAHA, NEB","NE","USA"
6,"Alabama A&M",4474,"Deshawna Harper","Senior","Indianapolis","Ind","Heritage Christian HS",,"5'4""","Guard","23","https://www.aamusports.com/sports/womens-basketball/roster/deshawna-harper/4474","2020-21","AL","SWAC","I",5,4,64,"GUARD",,"GUARD","Senior",0,"Heritage Christian HS","INDIANAPOLIS, IND","IN","USA"
6,"Alabama A&M",4471,"Tierra Dark","Senior","Sylacauga","Ala","Sylacauga HS",,"5'7""","Guard","24","https://www.aamusports.com/sports/womens-basketball/roster/tierra-dark/4471","2020-21","AL","SWAC","I",5,7,67,"GUARD",,"GUARD","Senior",0,"Sylacauga HS","SYLACAUGA, ALA","AL","USA"
