"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","team_state","conference","division","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
2,"Abilene Christian",8843,"Kamryn Mraz","Redshirt Junior","Little River","Texas","Academy HS",,"5'7""","Guard","0","https://www.acusports.com/sports/womens-basketball/roster/kamryn-mraz/8843","2021-22","TX","WAC","I","GUARD",,"GUARD","Junior",1,"Academy HS","LITTLE RIVER, TEXAS","TX","USA"
2,"Abilene Christian",8840,"Katie Horyna","Sophomore","Liberal","Kan","Liberal HS",,"5'9""","Guard","1","https://www.acusports.com/sports/womens-basketball/roster/katie-horyna/8840","2021-22","TX","WAC","I","GUARD",,"GUARD","Sophomore",0,"Liberal HS","LIBERAL, KAN","KS","USA"
2,"Abilene Christian",8842,"Taylor Morgan","Sophomore","Fort Worth","Texas","All Saints Episcopal HS",,"5'6""","Guard","10","https://www.acusports.com/sports/womens-basketball/roster/taylor-morgan/8842","2021-22","TX","WAC","I","GUARD",,"GUARD","Sophomore",0,"All Saints Episcopal HS","FORT WORTH, TEXAS","TX","USA"
2,"Abilene Christian",8847,"Alexis Babineaux","Freshman","Houston","Texas","Westfield HS",,"6'2""","Center","11","https://www.acusports.com/sports/womens-basketball/roster/alexis-babineaux/8847","2021-22","TX","WAC","I","CENTER",,"CENTER","Freshman",0,"Westfield HS","HOUSTON, TEXAS","TX","USA"
2,"Abilene Christian",8848,"Addison Martin","Freshman","Shreveport","Louisiana","Captain Shreve HS",,"6'0""","Forward","12","https://www.acusports.com/sports/womens-basketball/roster/addison-martin/8848","2021-22","TX","WAC","I","FORWARD",,"FORWARD","Freshman",0,"Captain Shreve HS","SHREVEPORT, LA","LA","USA"
2,"Abilene Christian",8838,"Paige Emborsky","Senior","Newfane","NY.","Newfane HS","Niagara County CC","5'6""","Guard","13","https://www.acusports.com/sports/womens-basketball/roster/paige-emborsky/8838","2021-22","TX","WAC","I","GUARD",,"GUARD","Senior",0,"Newfane HS","NEWFANE, NY","NY","USA"
2,"Abilene Christian",8849,"Jamie Bonnarens","Graduate Student","Cache","Okla","Cache HS","Colorado State / Cameron","6'0""","Forward","20","https://www.acusports.com/sports/womens-basketball/roster/jamie-bonnarens/8849","2021-22","TX","WAC","I","FORWARD",,"FORWARD","Graduate Student",0,"Cache HS","CACHE, OKLA","OK","USA"
2,"Abilene Christian",8850,"Niyah Johnson","Freshman","Houston","Texas","Clear Springs HS",,"6'2""","Forward","21","https://www.acusports.com/sports/womens-basketball/roster/niyah-johnson/8850","2021-22","TX","WAC","I","FORWARD",,"FORWARD","Freshman",0,"Clear Springs HS","HOUSTON, TEXAS","TX","USA"
2,"Abilene Christian",8851,"Tatum Barber","Graduate Student","Argyle","Texas","Liberty Christian HS","Georgia Southern","5'10""","Guard","22","https://www.acusports.com/sports/womens-basketball/roster/tatum-barber/8851","2021-22","TX","WAC","I","GUARD",,"GUARD","Graduate Student",0,"Liberty Christian HS","ARGYLE, TEXAS","TX","USA"
2,"Abilene Christian",8839,"Sarah Griswold","Redshirt Junior","Okarche","Okla","Okarche HS","Northern Oklahoma College","6'1""","Center","23","https://www.acusports.com/sports/womens-basketball/roster/sarah-griswold/8839","2021-22","TX","WAC","I","CENTER",,"CENTER","Junior",1,"Okarche HS","OKARCHE, OKLA","OK","USA"
2,"Abilene Christian",8845,"Bella Earle","Freshman","Corinth","Texas","Denton Guyer HS",,"5'10""","Guard","3","https://www.acusports.com/sports/womens-basketball/roster/bella-earle/8845","2021-22","TX","WAC","I","GUARD",,"GUARD","Freshman",0,"Denton Guyer HS","CORINTH, TEXAS","TX","USA"
2,"Abilene Christian",8841,"Madi Miller","Senior","Wylie","Texas","Wylie HS",,"5'9""","Guard","31","https://www.acusports.com/sports/womens-basketball/roster/madi-miller/8841","2021-22","TX","WAC","I","GUARD",,"GUARD","Senior",0,"Wylie HS","WYLIE, TEXAS","TX","USA"
2,"Abilene Christian",8852,"Nykale Cramer","Freshman","Oklahoma City","Okla","Millwood HS",,"5'10""","Guard","32","https://www.acusports.com/sports/womens-basketball/roster/nykale-cramer/8852","2021-22","TX","WAC","I","GUARD",,"GUARD","Freshman",0,"Millwood HS","OKLAHOMA CITY, OKLA","OK","USA"
2,"Abilene Christian",8844,"Alice Stevenson","Sophomore","Perkins","Okla","Perkins HS",,"5'10""","Forward","33","https://www.acusports.com/sports/womens-basketball/roster/alice-stevenson/8844","2021-22","TX","WAC","I","FORWARD",,"FORWARD","Sophomore",0,"Perkins HS","PERKINS, OKLA","OK","USA"
2,"Abilene Christian",8846,"Emma Middleton","Graduate Student","Lubbock","Texas","Homeschool","Lubbock Christian","6'2""","Forward","4","https://www.acusports.com/sports/womens-basketball/roster/emma-middleton/8846","2021-22","TX","WAC","I","FORWARD",,"FORWARD","Graduate Student",0,"Homeschool","LUBBOCK, TEXAS","TX","USA"
