ncaa_id,team,player_id,name,year,hometown,homestate,high_school,previous_school_clean,height_clean,position,jersey,url,season,team_state,conference,division,has_roster,roster,height_ft,height_in,total_inches,primary_position,secondary_position,position_clean,year_clean,redshirt,hs_clean,hometown_clean,state_clean,foreign_nation_clean
721,Air Force,11807,Mackenzie Le,Freshman,Elk Grove,California,St. Francis,NA,"5'3""",G,1,https://www.goairforcefalcons.com/sports/womens-basketball/roster/mackenzie-le/11807,2022-23,CO,Mountain West,I,1,1,5,3,63,GUARD,NA,GUARD,Freshman,0,St. Francis,"ELK GROVE, CA",CA,USA
721,Air Force,11805,Milahnie Perry,Freshman,Tampa,Florida,Seffner Christian Academy,NA,"5'7""",G,2,https://www.goairforcefalcons.com/sports/womens-basketball/roster/milahnie-perry/11805,2022-23,CO,Mountain West,I,1,1,5,7,67,GUARD,NA,GUARD,Freshman,0,Seffner Christian Academy,"TAMPA, FL",FL,USA
721,Air Force,11801,Madison Smith,Sophomore,Connell,Washington,Connell,NA,"5'8""",G,4,https://www.goairforcefalcons.com/sports/womens-basketball/roster/madison-smith/11801,2022-23,CO,Mountain West,I,1,1,5,8,68,GUARD,NA,GUARD,Sophomore,0,Connell,"CONNELL, WA",WA,USA
721,Air Force,11795,Taylor Britt,Junior,Columbia,South Carolina,Spring Valley,USAFA Prep,"5'7""",G,5,https://www.goairforcefalcons.com/sports/womens-basketball/roster/taylor-britt/11795,2022-23,CO,Mountain West,I,1,1,5,7,67,GUARD,NA,GUARD,Junior,0,Spring Valley,"COLUMBIA, SC",SC,USA
721,Air Force,11796,Kamri Heath,Senior,Edmond,Oklahoma,Edmond North,NA,"5'7""",G,10,https://www.goairforcefalcons.com/sports/womens-basketball/roster/kamri-heath/11796,2022-23,CO,Mountain West,I,1,1,5,7,67,GUARD,NA,GUARD,Senior,0,Edmond North,"EDMOND, OK",OK,USA
721,Air Force,11800,Kayla Pilson,Junior,Houston,Texas,Westside,USAFA Prep,"5'10""",G/F,11,https://www.goairforcefalcons.com/sports/womens-basketball/roster/kayla-pilson/11800,2022-23,CO,Mountain West,I,1,1,5,10,70,GUARD,FORWARD,GUARD/FORWARD,Junior,0,Westside,"HOUSTON, TX",TX,USA
721,Air Force,11806,Faith Shelton,Freshman,Stockton,California,Lincoln,NA,"6'2""",C/F,13,https://www.goairforcefalcons.com/sports/womens-basketball/roster/faith-shelton/11806,2022-23,CO,Mountain West,I,1,1,6,2,74,FORWARD,CENTER,FORWARD/CENTER,Freshman,0,Lincoln,"STOCKTON, CA",CA,USA
721,Air Force,11804,Griffin Greenwood,Freshman,Monument,Colorado,Lewis-Palmer,NA,"5'11""",F,21,https://www.goairforcefalcons.com/sports/womens-basketball/roster/griffin-greenwood/11804,2022-23,CO,Mountain West,I,1,1,5,11,71,FORWARD,NA,FORWARD,Freshman,0,Lewis-Palmer,"MONUMENT, CO",CO,USA
721,Air Force,11803,Parker Brown,Freshman,Spokane,Washington,Mead,NA,"6'0""",F,23,https://www.goairforcefalcons.com/sports/womens-basketball/roster/parker-brown/11803,2022-23,CO,Mountain West,I,1,1,6,0,72,FORWARD,NA,FORWARD,Freshman,0,Mead,"SPOKANE, WA",WA,USA
721,Air Force,11798,Dasha Macmillan,Junior,Colleyville,Texas,Grapevine,NA,"6'0""",F,30,https://www.goairforcefalcons.com/sports/womens-basketball/roster/dasha-macmillan/11798,2022-23,CO,Mountain West,I,1,1,6,0,72,FORWARD,NA,FORWARD,Junior,0,Grapevine,"COLLEYVILLE, TX",TX,USA
721,Air Force,11802,Emily Adams,Freshman,Lebanon,Ohio,Bishop Fenwick,USAFA Prep,"6'0""",F,31,https://www.goairforcefalcons.com/sports/womens-basketball/roster/emily-adams/11802,2022-23,CO,Mountain West,I,1,1,6,0,72,FORWARD,NA,FORWARD,Freshman,0,Bishop Fenwick,"LEBANON, OH",OH,USA
721,Air Force,11799,Nikki McDonald,Senior,Chicago,Illinois,St. Ignatius College Prep,NA,"5'11""",F,33,https://www.goairforcefalcons.com/sports/womens-basketball/roster/nikki-mcdonald/11799,2022-23,CO,Mountain West,I,1,1,5,11,71,FORWARD,NA,FORWARD,Senior,0,St. Ignatius College Prep,"CHICAGO, IL",IL,USA
721,Air Force,11797,Jo Huntimer,Sophomore,Honolulu,Hawaii,Iolani,NA,"5'7""",G,40,https://www.goairforcefalcons.com/sports/womens-basketball/roster/jo-huntimer/11797,2022-23,CO,Mountain West,I,1,1,5,7,67,GUARD,NA,GUARD,Sophomore,0,Iolani,"HONOLULU, HI",HI,USA
697,Texas A&M,11255,Sydney Bowles,Freshman,Lithonia,Georgia,Woodward Academy,NA,"6'0""",Guard,00,https://www.12thman.com/sports/womens-basketball/roster/sydney-bowles/11255,2022-23,TX,SEC,I,1,1,6,0,72,GUARD,NA,GUARD,Freshman,0,Woodward Academy,"LITHONIA, GEORGIA",GA,USA
697,Texas A&M,11257,Mya Petticord,Freshman,Detroit,Michigan,Arbor Prep,NA,"5'9""",Guard,1,https://www.12thman.com/sports/womens-basketball/roster/mya-petticord/11257,2022-23,TX,SEC,I,1,1,5,9,69,GUARD,NA,GUARD,Freshman,0,Arbor Prep,"DETROIT, MICHIGAN",MI,USA
697,Texas A&M,11254,Janiah Barker,Freshman,Marietta,Georgia,Montverde Academy,NA,"6'4""",Forward,2,https://www.12thman.com/sports/womens-basketball/roster/janiah-barker/11254,2022-23,TX,SEC,I,1,1,6,4,76,FORWARD,NA,FORWARD,Freshman,0,Montverde Academy,"MARIETTA, GEORGIA",GA,USA
697,Texas A&M,11256,Tineya Hylton,Sophomore,Toronto,"Ontario, Canada",Royal Crown Academic School,Georgia,"5'7""",Guard,3,https://www.12thman.com/sports/womens-basketball/roster/tineya-hylton/11256,2022-23,TX,SEC,I,1,1,5,7,67,GUARD,NA,GUARD,Sophomore,0,Royal Crown Academic School,"TORONTO, ONTARIO, CANADA",NA,CANADA
697,Texas A&M,10778,Kay Kay Green,Junior,Chicago,Ill,Whitney Young,NA,"5'6""",Guard,4,https://www.12thman.com/sports/womens-basketball/roster/kay-kay-green/10778,2022-23,TX,SEC,I,1,1,5,6,66,GUARD,NA,GUARD,Junior,0,Whitney Young,"CHICAGO, ILL",IL,USA
697,Texas A&M,10784,Jada Malone,Sophomore,Spring,Texas,The Village School,NA,"6'3""",Forward,13,https://www.12thman.com/sports/womens-basketball/roster/jada-malone/10784,2022-23,TX,SEC,I,1,1,6,3,75,FORWARD,NA,FORWARD,Sophomore,0,The Village School,"SPRING, TEXAS",TX,USA
697,Texas A&M,10781,Maliyah Johnson,Junior,Chicago,Ill,Summer Creek,NA,"6'3""",Forward,14,https://www.12thman.com/sports/womens-basketball/roster/maliyah-johnson/10781,2022-23,TX,SEC,I,1,1,6,3,75,FORWARD,NA,FORWARD,Junior,0,Summer Creek,"CHICAGO, ILL",IL,USA
697,Texas A&M,10783,Eriny Kindred,Sophomore,Del Valle,Texas,Del Valle,NA,"5'10""",Guard,21,https://www.12thman.com/sports/womens-basketball/roster/eriny-kindred/10783,2022-23,TX,SEC,I,1,1,5,10,70,GUARD,NA,GUARD,Sophomore,0,Del Valle,"DEL VALLE, TEXAS",TX,USA
697,Texas A&M,10779,McKinzie Green,Graduate Student,Manvel,Texas,Manvel,NA,"5'6""",Guard,23,https://www.12thman.com/sports/womens-basketball/roster/mckinzie-green/10779,2022-23,TX,SEC,I,1,1,5,6,66,GUARD,NA,GUARD,Graduate Student,0,Manvel,"MANVEL, TEXAS",TX,USA
697,Texas A&M,10782,Sahara Jones,Junior,San Antonio,Texas,Memorial,NA,"6'0""",Guard,24,https://www.12thman.com/sports/womens-basketball/roster/sahara-jones/10782,2022-23,TX,SEC,I,1,1,6,0,72,GUARD,NA,GUARD,Junior,0,Memorial,"SAN ANTONIO, TEXAS",TX,USA
697,Texas A&M,10787,Aaliyah Patty,Graduate Student,West Chester,Ill,Montini Catholic,Ohio State,"6'3""",Forward,32,https://www.12thman.com/sports/womens-basketball/roster/aaliyah-patty/10787,2022-23,TX,SEC,I,1,1,6,3,75,FORWARD,NA,FORWARD,Graduate Student,0,Montini Catholic,"WEST CHESTER, ILL",IL,USA
