year,year-clean,redshirt
1V,Freshman,0
2V,Sophomore,0
3V,Junior,0
5th,Fifth Year,0
5TH,Fifth Year,0
5th Year,Fifth Year,0
5th Year Sr.,Fifth Year,0
5th Yr,Fifth Year,0
5th Yr.,Fifth Year,0
5th-year Senior,Fifth Year,0
5Y-4L,Senior,0
6th,Sixth Year,0
COVID Senior,Senior,0
F,Freshman,0
Fifth Year,Fifth Year,0
First Year,Freshman,0
First-Year,Freshman,0
First-year,Freshman,0
First-Year Student,Freshman,0
Fr,Freshman,0
FR,Freshman,0
FR-HS,Freshman,0
Fr.,Freshman,0
FR.,Freshman,0
Fr. - RS,Freshman,1
Fr.-HS,Freshman,0
Fr.-RS,Freshman,1
Freshman,Freshman,0
FY,Freshman,0
Fy,Freshman,0
Fy.,Freshman,0
FY.,Freshman,0
Gr,Graduate Student,0
GR,Graduate Student,0
Gr.,Graduate Student,0
GR.,Graduate Student,0
Gr.-2L,Graduate Student,0
Gr.-3L,Graduate Student,0
Gr.-4L,Graduate Student,0
Gr.-TR,Graduate Student,0
Grad,Graduate Student,0
Grad Student,Graduate Student,0
Grad.,Graduate Student,0
Graduate,Graduate Student,0
Graduate Student,Graduate Student,0
Graduate Transfer,Graduate Student,0
GS,Graduate Student,0
Gs,Graduate Student,0
Gs.,Graduate Student,0
GS.,Graduate Student,0
HS,Freshman,0
Jr,Junior,0
JR,Junior,0
JR-2L,Junior,0
Jr.,Junior,0
JR.,Junior,0
Jr. - RS,Junior,1
Jr.-1L,Junior,0
Jr.-2L,Junior,0
Jr.-R,Junior,1
Jr.-TR,Junior,0
Jr.-Tr.,Junior,0
Jr.-TR.,Junior,0
Junior,Junior,0
R-Fifth,Fifth Year,1
r-FR,Freshman,1
R-FR,Freshman,1
r-FR-HS,Freshman,1
R-Fr.,Freshman,1
R-FR.,Freshman,1
R-Freshman,Freshman,1
r-Jr,Junior,1
r-JR,Junior,1
R-JR,Junior,1
r-JR-2L,Junior,1
R-Jr.,Junior,1
R-Junior,Junior,1
R-Senior,Senior,1
r-SO,Sophomore,1
R-SO,Sophomore,1
r-SO-1L,Sophomore,1
R-So.,Sophomore,1
r-So.,Sophomore,1
R-SO.,Sophomore,1
R-Sophomore,Sophomore,1
R-SR,Senior,1
r-SR-4L,Senior,1
R-Sr.,Senior,1
R-SR.,Senior,1
Redshirt Fifth Year,Fifth Year,1
Redshirt First Year,Freshman,1
Redshirt Freshman,Freshman,1
Redshirt Junior,Junior,1
Redshirt Senior,Senior,1
Redshirt Sophomore,Sophomore,1
Redshirt-Freshman,Freshman,1
Redshirt-Junior,Junior,1
Redshirt-Senior,Senior,1
Redshirt-Sophomore,Sophomore,1
rFR,Freshman,1
RFr,Freshman,1
rFr,Freshman,1
RFr.,Freshman,1
RS Jr.,Junior,1
RS JR.,Junior,1
RS Senior,Senior,1
RS So.,Sophomore,1
RS SR,Senior,1
RS Sr.,Senior,1
RS-Fr.,Freshman,1
RS-Freshman,Freshman,1
RS-Junior,Junior,1
RS-Senior,Senior,1
RS-So.,Sophomore,1
RS-Sophomore,Sophomore,1
RS-SR.,Senior,1
RS-Sr.,Senior,1
Rs.,NA,1
Rs.,Freshman,1
RSo,Sophomore,1
RSo.,Sophomore,1
RSr,Senior,1
RSr.,Senior,1
RSr*,Senior,1
Senior,Senior,0
Senior-5,Senior,0
Senior*,Senior,0
Senior+,Senior,0
Sixth Year,Sixth Year,0
So,Sophomore,0
SO,Sophomore,0
SO-1L,Sophomore,0
So.,Sophomore,0
SO.,Sophomore,0
So. - RS,Sophomore,1
So.-1L,Sophomore,0
So.-Tr.,Sophomore,0
Sophmore,Sophomore,0
Sophomore,Sophomore,0
Sr,Senior,0
SR,Senior,0
SR-3L,Senior,0
Sr.,Senior,0
SR.,Senior,0
Sr.-1L,Senior,0
Sr.-2L,Senior,0
Sr.-3L,Senior,0
Sr.-5,Senior,0
Sr.-Tr.,Senior,0
Sr./Jr.,Senior,0
Sr.+,Senior,0
Super-Senior,Senior,0
